,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"28,797","29,657","37,090","54,214","58,213"
Expenses +,"27,666","28,348","35,765","52,477","56,587"
Operating Profit,"1,131","1,310","1,326","1,736","1,626"
OPM %,4%,4%,4%,3%,3%
Other Income +,122,110,104,172,201
Interest,487,569,407,541,563
Depreciation,199,241,268,309,340
Profit before tax,567,609,755,"1,059",924
Tax %,37%,34%,14%,27%,
Net Profit,376,461,729,804,688
EPS in Rs,32.86,40.32,63.74,6.18,5.52
