,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Jun 2010
Share Capital +,9,9,9,24,32
Reserves,20,30,46,251,263
Borrowings +,1,0,0,2,24
Other Liabilities +,1,2,1,17,18
Total Liabilities,29,40,56,286,330
Fixed Assets +,2,6,6,9,12
CWIP,0,0,0,0,0
Investments,4,0,0,17,26
Other Assets +,23,34,50,260,292
Total Assets,29,40,56,286,330
