,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,62,62,62,62,62,63,63,63,63,92,92,92,92
Reserves,"3,895","4,504","4,748","5,787","5,430","6,184","6,202","6,968","7,269","13,723","14,442","15,050","14,797"
Borrowings +,"1,041",916,"1,389","1,438","1,324","1,354",787,"1,068","1,141","1,586","1,634","1,412","1,294"
Other Liabilities +,"2,766","2,797","2,595","2,625","2,642","2,294","2,499","2,362","2,408","3,072","4,050","4,521","4,627"
Total Liabilities,"7,764","8,279","8,794","9,911","9,458","9,895","9,551","10,461","10,881","18,473","20,218","21,075","20,811"
Fixed Assets +,"3,771","4,244","4,434","5,181","4,922","4,662","4,573","4,798","4,913","11,656","12,023","12,599","12,576"
CWIP,31,49,91,60,47,39,63,135,424,95,113,247,245
Investments,587,567,578,611,622,"1,366","1,451","1,161","1,188","1,323",806,797,"1,040"
Other Assets +,"3,375","3,420","3,691","4,060","3,867","3,828","3,465","4,366","4,355","5,399","7,276","7,431","6,950"
Total Assets,"7,764","8,279","8,794","9,911","9,458","9,895","9,551","10,461","10,881","18,473","20,218","21,075","20,811"
