,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,15,15,15
Reserves,54,58,67,85,87
Borrowings +,67,78,90,117,120
Other Liabilities +,28,29,27,83,84
Total Liabilities,164,180,199,300,306
Fixed Assets +,60,51,55,56,74
CWIP,0,3,0,5,0
Investments,0,0,0,0,0
Other Assets +,104,126,144,240,233
Total Assets,164,180,199,300,306
