,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,6,6,6,5,5,5
Reserves,110,120,132,144,154,167,158,178,184
Borrowings +,0,0,0,0,0,0,0,0,0
Other Liabilities +,65,65,64,70,87,73,80,88,72
Total Liabilities,181,192,202,220,247,246,242,270,260
Fixed Assets +,10,12,11,11,13,15,14,13,17
CWIP,1,0,0,0,0,0,0,0,0
Investments,4,4,24,28,13,3,3,2,3
Other Assets +,165,175,167,182,221,228,225,254,241
Total Assets,181,192,202,220,247,246,242,270,260
