,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,187,187,187,187,187
Reserves,647,769,884,"1,002","1,054"
Borrowings +,107,134,160,268,318
Other Liabilities +,883,"1,306","1,228","1,322","1,340"
Total Liabilities,"1,825","2,396","2,459","2,779","2,900"
Fixed Assets +,425,441,429,938,984
CWIP,175,405,549,132,104
Investments,2,20,21,21,21
Other Assets +,"1,223","1,530","1,461","1,688","1,791"
Total Assets,"1,825","2,396","2,459","2,779","2,900"
