,Mar 2008,Mar 2009,Sep 2010,Mar 2011,Mar 2012,Mar 2013
Share Capital +,10,10,82,82,82,92
Reserves,84,96,430,408,374,452
Borrowings +,200,340,315,312,306,205
Other Liabilities +,82,78,145,156,215,140
Total Liabilities,375,525,972,958,977,890
Fixed Assets +,11,20,20,19,39,36
CWIP,230,461,864,133,62,26
Investments,0,0,0,0,0,0
Other Assets +,134,45,88,806,876,828
Total Assets,375,525,972,958,977,890
