,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,12,13
Reserves,71,140,193
Borrowings +,63,81,108
Other Liabilities +,65,43,31
Total Liabilities,209,276,345
Fixed Assets +,28,42,49
CWIP,0,3,15
Investments,0,12,1
Other Assets +,181,218,281
Total Assets,209,276,345
