,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,112,112,112,112,113,113,114,136,136,204,211,230,231
Reserves,"1,012","1,054","1,100","1,168","1,244","1,425","1,581","2,151","2,033","2,002","2,068","2,611","2,843"
Borrowings +,920,851,"1,057","1,021","1,663","2,459","2,576","3,390","3,785","4,522","5,005","4,906","4,796"
Other Liabilities +,593,720,688,"1,040","1,278","2,000","2,079","2,133","4,845","5,523","6,530","7,354","7,853"
Total Liabilities,"2,638","2,738","2,957","3,341","4,298","5,997","6,350","7,810","10,800","12,251","13,814","15,101","15,722"
Fixed Assets +,395,508,"1,053","1,227","1,362",340,"1,431","1,805","2,277","2,998","5,020","4,905","4,825"
CWIP,834,925,389,246,486,"1,411","1,564","2,129","2,010","2,097",495,541,635
Investments,1,2,7,82,34,994,54,236,98,72,89,509,419
Other Assets +,"1,408","1,303","1,507","1,787","2,416","3,252","3,302","3,640","6,416","7,083","8,210","9,147","9,844"
Total Assets,"2,638","2,738","2,957","3,341","4,298","5,997","6,350","7,810","10,800","12,251","13,814","15,101","15,722"
