,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,244,244,244,244,244,244,244,244,244,244,244,244,244
Reserves,89,173,194,183,143,-16,-2,-39,-121,-183,-240,-299,-25
Borrowings +,273,162,142,165,143,363,302,349,370,359,355,373,166
Other Liabilities +,108,200,217,186,152,230,232,174,177,192,206,188,93
Total Liabilities,714,779,796,778,681,821,776,728,669,611,566,505,477
Fixed Assets +,143,129,99,85,69,4,4,13,12,14,5,4,4
CWIP,0,0,0,0,0,3,9,0,0,0,0,0,0
Investments,165,166,167,148,150,52,52,44,33,29,18,14,9
Other Assets +,406,484,530,545,461,762,711,671,624,568,543,487,463
Total Assets,714,779,796,778,681,821,776,728,669,611,566,505,477
