,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,18,18,18,18,18,18,18,14,14,14,14,14,14
Reserves,600,642,709,798,849,936,"1,045","2,666","2,606","2,517","2,543","2,604","2,531"
Borrowings +,51,46,27,26,22,36,98,151,200,206,119,349,310
Other Liabilities +,213,280,318,302,264,283,359,359,323,407,436,351,308
Total Liabilities,881,987,"1,073","1,145","1,153","1,274","1,521","3,190","3,142","3,145","3,112","3,319","3,164"
Fixed Assets +,377,408,448,419,416,403,491,578,810,870,884,990,"1,236"
CWIP,63,113,132,91,123,237,250,238,92,330,568,494,210
Investments,21,15,39,11,41,14,14,901,926,550,392,264,2
Other Assets +,420,451,454,623,574,620,766,"1,473","1,313","1,395","1,269","1,571","1,715"
Total Assets,881,987,"1,073","1,145","1,153","1,274","1,521","3,190","3,142","3,145","3,112","3,319","3,164"
