,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6.94,6.94,6.94,6.94,6.94,18.88,18.88,18.88,18.92,19.22,19.31
Reserves,17.10,26.13,28.32,21.13,12.06,11.23,5.28,5.75,7.10,8.04,9.82
Borrowings +,15.11,9.38,9.01,17.70,17.54,15.92,12.82,11.03,6.23,6.63,5.87
Other Liabilities +,17.75,18.78,18.93,16.76,23.16,27.44,26.38,21.58,25.73,26.43,27.66
Total Liabilities,56.90,61.23,63.20,62.53,59.70,73.47,63.36,57.24,57.98,60.32,62.66
Fixed Assets +,20.34,27.46,21.82,17.44,20.09,18.80,32.57,26.61,21.64,17.18,16.72
CWIP,8.30,-0.00,8.36,20.08,17.69,17.33,-0.00,0.33,-0.00,0.39,-0.00
Investments,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
Other Assets +,28.26,33.77,33.02,25.01,21.92,37.34,30.79,30.30,36.34,42.75,45.94
Total Assets,56.90,61.23,63.20,62.53,59.70,73.47,63.36,57.24,57.98,60.32,62.66
