,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Share Capital +,15,15,15,15,15,15,30,30,30,30
Reserves,197,223,298,392,496,639,742,916,"1,126","1,325"
Borrowings +,67,18,29,50,13,0,0,0,0,0
Other Liabilities +,423,485,349,318,296,383,477,496,585,585
Total Liabilities,702,741,691,775,820,"1,037","1,249","1,443","1,741","1,940"
Fixed Assets +,55,55,69,82,93,96,258,287,399,406
CWIP,2,28,16,15,22,108,33,83,51,39
Investments,0,0,96,120,195,226,152,85,201,219
Other Assets +,645,657,510,558,509,607,806,987,"1,090","1,277"
Total Assets,702,741,691,775,820,"1,037","1,249","1,443","1,741","1,940"
