,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,11,12,12,13,15,16,16
Reserves,140,147,213,218,163,157,212,225
Borrowings +,330,362,357,417,470,470,585,624
Other Liabilities +,220,267,320,290,276,390,417,457
Total Liabilities,701,787,902,937,922,"1,032","1,230","1,322"
Fixed Assets +,361,365,386,386,382,415,477,486
CWIP,7,28,16,16,50,31,18,30
Investments,0,0,0,1,1,1,1,1
Other Assets +,333,394,499,535,489,586,733,805
Total Assets,701,787,902,937,922,"1,032","1,230","1,322"
