,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,30,30,30,30,150,34,159,161,164,167,192,170,31
Reserves,376,368,155,-319,"-1,173",-835,"-1,684","-1,595",3,-625,-326,-163,-69
Borrowings +,"2,580","4,443","4,364","5,127","5,878","6,342","6,564","6,538","2,198","2,486",336,49,97
Other Liabilities +,"1,118","1,844","1,957","2,118","1,843","2,367","2,465","2,597",946,"1,305",399,177,38
Total Liabilities,"4,104","6,686","6,505","6,955","6,579","7,905","7,376","7,571","3,178","3,198",440,94,98
Fixed Assets +,"2,360","4,815","4,764","5,040","4,612","5,804","5,213","5,372","2,169","2,168",19,4,3
CWIP,346,236,284,352,291,258,259,292,142,196,4,0,0
Investments,40,1,0,0,0,30,28,27,25,25,74,0,0
Other Assets +,"1,357","1,634","1,457","1,563","1,676","1,813","1,876","1,880",842,809,343,90,94
Total Assets,"4,104","6,686","6,505","6,955","6,579","7,905","7,376","7,571","3,178","3,198",440,94,98
