,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,30,30
Reserves,25,35,43,115
Borrowings +,30,31,42,281
Other Liabilities +,31,50,86,71
Total Liabilities,96,126,202,497
Fixed Assets +,66,65,81,106
CWIP,0,0,5,0
Investments,3,6,2,3
Other Assets +,27,55,113,388
Total Assets,96,126,202,497
