,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,17,22,23,25,25,25,25,25,25,25,25,25,25
Reserves,147,246,285,339,354,358,366,362,339,171,112,25,-22
Borrowings +,303,298,413,528,621,651,784,728,726,717,622,624,622
Other Liabilities +,190,236,300,275,312,330,311,326,325,247,321,323,330
Total Liabilities,657,802,"1,021","1,168","1,312","1,364","1,487","1,440","1,415","1,159","1,080",998,956
Fixed Assets +,271,403,444,503,693,698,684,641,607,568,495,432,416
CWIP,71,-0,34,100,4,12,-0,-0,-0,-0,-0,-0,-0
Investments,-0,-0,1,1,0,-0,-0,-0,-0,-0,-0,-0,-0
Other Assets +,315,399,542,564,614,653,803,799,809,592,585,565,539
Total Assets,657,802,"1,021","1,168","1,312","1,364","1,487","1,440","1,415","1,159","1,080",998,956
