,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,7,7,7,7,7,11,11
Reserves,403,398,695,714,751,819,848,738,712
Borrowings +,115,105,115,100,96,128,94,112,143
Other Liabilities +,60,67,167,147,175,177,174,183,183
Total Liabilities,586,578,985,968,"1,029","1,131","1,122","1,043","1,048"
Fixed Assets +,464,439,776,753,768,782,748,625,590
CWIP,0,0,32,45,64,84,91,96,86
Investments,24,26,35,42,43,122,137,177,181
Other Assets +,98,112,141,129,153,143,146,146,191
Total Assets,586,578,985,968,"1,029","1,131","1,122","1,043","1,048"
