,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10,10,10,10,10,10
Reserves,292,352,269,314,405,408,513,696,876,946
Borrowings +,20,14,5,1,1,18,67,112,379,305
Other Liabilities +,69,87,107,188,110,113,160,181,256,245
Total Liabilities,391,462,391,512,526,550,750,"1,000","1,521","1,507"
Fixed Assets +,149,153,142,202,207,213,296,343,"1,059","1,119"
CWIP,1,0,1,1,0,6,3,0,6,0
Investments,132,168,101,142,102,33,14,10,16,29
Other Assets +,109,141,147,167,216,298,437,647,440,360
Total Assets,391,462,391,512,526,550,750,"1,000","1,521","1,507"
