,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,633","3,463","4,401","4,068"
Expenses +,"1,678","2,161","2,890","2,804"
Operating Profit,955,"1,302","1,510","1,264"
OPM %,36%,38%,34%,31%
Other Income +,139,135,224,251
Interest,7,3,5,6
Depreciation,95,99,110,130
Profit before tax,993,"1,335","1,619","1,379"
Tax %,22%,25%,25%,
Net Profit,773,997,"1,212","1,029"
EPS in Rs,,60.94,73.75,62.59
