,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,3,4,5,5,5,5,5,5,5,5,5,5
Reserves,22,22,23,29,37,74,107,113,128,152,186,248,281
Borrowings +,21,23,31,39,73,67,80,92,97,102,107,150,196
Other Liabilities +,14,13,20,24,32,52,41,50,61,65,93,150,200
Total Liabilities,60,61,79,97,147,199,233,260,291,325,391,553,683
Fixed Assets +,21,28,32,35,58,67,98,111,119,125,152,206,302
CWIP,6,0,0,2,4,2,2,2,4,9,10,21,23
Investments,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Other Assets +,33,33,46,60,85,131,132,146,168,191,229,326,357
Total Assets,60,61,79,97,147,199,233,260,291,325,391,553,683
