,Mar 2009,Mar 2010,Mar 2011
Share Capital +,"1,897","1,897","1,897"
Reserves,"-2,276","-2,594","-2,514"
Borrowings +,"3,344","3,940","4,653"
Other Liabilities +,"1,061","1,566","1,811"
Total Liabilities,"4,026","4,809","5,847"
Fixed Assets +,"3,196","3,951","4,803"
CWIP,230,205,153
Investments,10,0,0
Other Assets +,591,653,891
Total Assets,"4,026","4,809","5,847"
