,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Jun 2022
Share Capital +,188,188,188,188,188,188,188,188,188,188,188,188,188
Reserves,"6,093","6,791","7,184","7,625","8,030","8,233","8,625","9,168","10,344","11,356","12,511","14,121","13,673"
Borrowings +,524,511,163,35,0,0,0,0,0,0,102,126,122
Other Liabilities +,"4,237","4,431","4,393","4,253","4,464","4,379","4,581","5,490","5,524","5,592","5,399","6,604","6,593"
Total Liabilities,"11,041","11,921","11,928","12,101","12,682","12,800","13,394","14,846","16,056","17,136","18,200","21,039","20,576"
Fixed Assets +,"5,307","6,406","5,931","5,570","5,666","5,331","7,568","7,280","7,088","7,027","6,694","6,750","7,114"
CWIP,"1,564",370,315,832,"1,956","2,396",261,269,398,446,548,"1,245","1,727"
Investments,"1,407","1,293","2,479","2,126","1,385","1,314",117,95,104,116,129,150,157
Other Assets +,"2,764","3,851","3,203","3,573","3,675","3,759","5,448","7,202","8,466","9,547","10,828","12,894","11,577"
Total Assets,"11,041","11,921","11,928","12,101","12,682","12,800","13,394","14,846","16,056","17,136","18,200","21,039","20,576"
