,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Share Capital +,17,17,17,17,26,29,34,34,34,34,34,34
Reserves,185,155,114,147,44,-66,-94,-215,-232,-109,-138,-579
Borrowings +,335,550,556,441,515,546,528,526,521,327,311,303
Other Liabilities +,65,61,66,187,115,94,87,85,81,112,110,505
Total Liabilities,603,784,753,792,700,603,554,431,404,364,317,263
Fixed Assets +,263,344,457,457,454,427,402,313,286,193,172,152
CWIP,110,156,42,31,5,5,-0,-0,-0,-0,-0,-0
Investments,0,2,2,1,1,1,1,1,1,1,1,0
Other Assets +,230,282,251,302,240,169,151,116,116,170,144,111
Total Assets,603,784,753,792,700,603,554,431,404,364,317,263
