,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Share Capital +,101,105,108,108
Reserves,"3,746","3,332",985,"-1,329"
Borrowings +,"2,657","10,813","12,204","13,880"
Other Liabilities +,"4,083","7,288","5,728","5,068"
Total Liabilities,"10,587","21,538","19,025","17,727"
Fixed Assets +,"1,525","3,646","7,026","6,197"
CWIP,190,"4,097",74,78
Investments,4,-0,-0,-0
Other Assets +,"8,868","13,795","11,925","11,451"
Total Assets,"10,587","21,538","19,025","17,727"
