,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,20,26,26,26,26,28,28,28,28,28,28,38,38
Reserves,116,284,321,371,427,489,378,441,444,353,236,238,228
Borrowings +,45,77,129,171,127,104,84,86,78,90,104,95,111
Other Liabilities +,108,119,153,171,193,228,225,220,233,196,145,155,169
Total Liabilities,290,506,629,739,773,848,715,775,784,667,514,526,546
Fixed Assets +,160,314,398,479,475,464,276,246,230,223,173,145,155
CWIP,8,51,31,20,9,7,7,21,9,20,18,9,6
Investments,18,3,13,11,13,36,78,138,152,105,65,48,29
Other Assets +,103,139,186,229,276,341,355,370,393,319,257,324,356
Total Assets,290,506,629,739,773,848,715,775,784,667,514,526,546
