,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,7.11,7.11,7.26,7.26,9.76,9.76,9.76,9.76,9.76,9.76
Reserves,34.06,43.83,71.42,96.47,133.53,80.66,57.25,5.55,-16.18,-6.77
Borrowings +,58.36,80.26,211.94,260.03,407.67,585.59,610.67,569.12,599.23,573.93
Other Liabilities +,57.32,167.57,109.31,287.53,431.31,314.40,182.12,54.27,52.67,27.33
Total Liabilities,156.85,298.77,399.93,651.29,982.27,990.41,859.80,638.70,645.48,604.25
Fixed Assets +,42.22,72.25,88.10,118.20,283.80,270.77,246.95,147.69,130.60,118.27
CWIP,2.30,0.00,16.25,0.00,0.52,0.52,0.52,0.00,0.00,0.00
Investments,0.03,0.04,0.05,0.15,0.05,0.05,0.05,0.05,0.05,0.05
Other Assets +,112.30,226.48,295.53,532.94,697.90,719.07,612.28,490.96,514.83,485.93
Total Assets,156.85,298.77,399.93,651.29,982.27,990.41,859.80,638.70,645.48,604.25
