,Mar 2021,Mar 2022,TTM
Sales +,191,257,307
Expenses +,151,195,234
Operating Profit,39,62,73
OPM %,21%,24%,24%
Other Income +,2,4,4
Interest,1,1,1
Depreciation,2,4,4
Profit before tax,38,61,72
Tax %,24%,25%,
Net Profit,29,46,54
EPS in Rs,7.34,11.68,13.62
