,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,50,50,50,50,50,50,50,56,58,61,63,74,74
Reserves,460,489,529,549,588,552,605,639,644,620,625,785,882
Borrowings +,15,37,26,82,158,283,305,430,442,393,493,557,457
Other Liabilities +,277,324,248,202,148,139,239,233,210,235,288,300,474
Total Liabilities,801,899,853,883,943,"1,024","1,198","1,351","1,347","1,298","1,456","1,716","1,887"
Fixed Assets +,111,80,73,58,43,37,40,34,83,81,59,60,67
CWIP,3,6,3,78,125,130,130,130,132,0,1,2,0
Investments,158,2,1,31,120,115,168,97,24,22,63,150,279
Other Assets +,530,812,776,717,655,742,861,"1,090","1,108","1,195","1,333","1,504","1,542"
Total Assets,801,899,853,883,943,"1,024","1,198","1,351","1,347","1,298","1,456","1,716","1,887"
