,Mar 2006,Dec 2006,Dec 2007,Dec 2008,Dec 2009,Dec 2010,Dec 2011
Share Capital +,27,27,27,27,27,27,27
Reserves,305,286,283,291,321,340,459
Borrowings +,56,6,4,3,2,1,0
Other Liabilities +,259,272,227,212,232,301,313
Total Liabilities,632,591,541,533,581,669,799
Fixed Assets +,157,166,163,163,155,147,170
CWIP,10,8,18,11,6,20,15
Investments,111,43,26,55,121,189,267
Other Assets +,355,373,334,305,299,313,347
Total Assets,632,591,541,533,581,669,799
