,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,23,25,25,25,24,24
Reserves,682,863,"1,041","1,067","1,058","1,110"
Borrowings +,13,0,316,210,279,262
Other Liabilities +,221,257,209,322,407,437
Total Liabilities,939,"1,146","1,591","1,624","1,768","1,833"
Fixed Assets +,316,253,507,459,515,494
CWIP,1,2,0,0,0,1
Investments,138,194,401,536,512,485
Other Assets +,483,696,683,629,741,854
Total Assets,939,"1,146","1,591","1,624","1,768","1,833"
