,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,131,131,131,131,131,131,131,131,131,131,142,142
Reserves,162,162,110,-82,-153,-186,-219,-260,-373,-383,-396,-384
Borrowings +,123,152,236,281,277,291,300,296,283,247,228,227
Other Liabilities +,244,269,257,151,111,123,141,179,195,184,162,201
Total Liabilities,660,714,734,481,366,360,353,346,236,180,136,187
Fixed Assets +,95,91,108,104,97,97,92,80,75,66,48,44
CWIP,14,35,20,22,17,13,13,13,14,-0,-0,-0
Investments,1,0,0,0,0,0,0,0,0,0,-0,-0
Other Assets +,550,588,606,355,251,249,248,253,147,114,88,142
Total Assets,660,714,734,481,366,360,353,346,236,180,136,187
