,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,12,12,10,10,10,10,10
Reserves,-0,75,84,304,198,328,614,562
Borrowings +,0,10,5,2,3,2,3,0
Other Liabilities +,0,6,6,6,6,6,14,6
Total Liabilities,0,101,105,322,217,346,641,578
Fixed Assets +,0,11,11,11,12,12,12,12
CWIP,0,1,0,1,1,1,1,2
Investments,0,36,36,248,135,256,554,483
Other Assets +,0,53,58,63,69,77,73,81
Total Assets,0,101,105,322,217,346,641,578
