,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,337,337,337,67,67,67,67,67,67,67
Reserves,-707,-933,"-1,121",52,-33,44,-50,-36,-69,-104
Borrowings +,286,428,433,603,609,606,521,518,439,92
Other Liabilities +,682,729,854,"1,103","1,018",837,841,895,"1,042","1,417"
Total Liabilities,329,292,234,"1,825","1,662","1,555","1,379","1,444","1,479","1,471"
Fixed Assets +,151,137,125,"1,689",154,170,174,136,155,155
CWIP,38,11,4,4,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets +,140,143,104,131,"1,508","1,384","1,204","1,309","1,324","1,316"
Total Assets,329,292,234,"1,825","1,662","1,555","1,379","1,444","1,479","1,471"
