,Mar 2015,Mar 2016
Sales +,175,186
Expenses +,181,180
Operating Profit,-7,6
OPM %,-4%,3%
Other Income +,41,2
Interest,9,6
Depreciation,10,8
Profit before tax,15,-7
Tax %,22%,27%
Net Profit,12,-5
EPS in Rs,5.96,-2.50
