,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,15,20,30,30,20,20,20,24,24,24,24
Reserves,105,130,159,227,280,323,336,397,625,680,722,870,936
Borrowings +,304,347,375,313,492,526,522,573,781,627,845,"1,388","1,672"
Other Liabilities +,263,318,335,506,461,649,471,445,580,678,873,947,915
Total Liabilities,681,805,879,"1,055","1,254","1,519","1,350","1,435","2,006","2,009","2,464","3,229","3,547"
Fixed Assets +,307,346,411,470,692,711,583,558,834,861,930,"1,213","1,308"
CWIP,19,32,40,79,12,27,35,63,70,90,300,180,207
Investments,5,13,13,13,16,16,76,91,48,54,54,49,45
Other Assets +,350,415,415,494,534,764,656,723,"1,054","1,004","1,179","1,788","1,987"
Total Assets,681,805,879,"1,055","1,254","1,519","1,350","1,435","2,006","2,009","2,464","3,229","3,547"
