,Mar 2006,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,12,12,12,12,12,12,62,62
Reserves,28,286,362,387,418,434,421,416,445
Borrowings +,16,29,41,48,93,88,50,82,67
Other Liabilities +,493,96,98,109,122,102,100,183,256
Total Liabilities,546,424,513,556,645,636,582,743,830
Fixed Assets +,18,60,65,70,82,83,82,86,92
CWIP,8,3,7,9,2,3,1,1,10
Investments,2,160,205,230,235,195,131,140,144
Other Assets +,518,202,236,248,325,356,368,516,584
Total Assets,546,424,513,556,645,636,582,743,830
