,Mar 2013,Mar 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,51.27,57.15,58.18,72.18,65.35,52.98,60.85,62.89,79.93,76.69
Expenses +,44.03,49.08,50.07,60.12,57.93,53.75,57.02,59.35,75.93,73.91
Operating Profit,7.24,8.07,8.11,12.06,7.42,-0.77,3.83,3.54,4.00,2.78
OPM %,14.12%,14.12%,13.94%,16.71%,11.35%,-1.45%,6.29%,5.63%,5.00%,3.62%
Other Income +,-1.46,-0.15,1.83,1.29,1.52,0.87,0.03,0.04,0.03,-0.01
Interest,2.40,2.43,2.52,1.99,1.45,1.32,1.08,0.78,1.36,1.31
Depreciation,2.09,2.29,2.21,2.45,2.54,2.42,2.78,2.69,2.93,3.03
Profit before tax,1.29,3.20,5.21,8.91,4.95,-3.64,0.00,0.11,-0.26,-1.57
Tax %,32.56%,-21.25%,16.89%,16.95%,18.99%,-12.09%,,-18.18%,38.46%,
Net Profit,0.87,3.88,4.33,7.39,4.02,-4.09,0.71,0.12,-0.15,-1.26
EPS in Rs,0.92,4.08,4.56,7.78,4.23,-4.30,0.75,0.13,-0.16,-1.33
