,Mar 2021,Mar 2022,TTM
Sales +,996,"1,178","1,373"
Expenses +,889,"1,065","1,241"
Operating Profit,106,114,132
OPM %,11%,10%,10%
Other Income +,2,3,5
Interest,21,18,22
Depreciation,21,23,24
Profit before tax,66,76,91
Tax %,19%,34%,
Net Profit,53,50,60
EPS in Rs,5.97,5.55,3.51
