,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,156,200,248,277,327,402,476,526,636,725,798,808,843
Borrowings +,8,45,148,173,160,132,225,118,102,126,122,109,103
Other Liabilities +,39,54,165,123,166,218,311,206,157,168,147,181,144
Total Liabilities,213,310,571,583,662,762,"1,023",860,905,"1,030","1,077","1,109","1,101"
Fixed Assets +,20,40,168,213,234,225,305,143,146,242,234,281,278
CWIP,8,7,1,4,0,9,4,0,47,0,2,22,39
Investments,0,1,0,0,0,0,0,0,0,0,0,2,3
Other Assets +,186,262,402,365,428,527,714,717,712,788,840,803,781
Total Assets,213,310,571,583,662,762,"1,023",860,905,"1,030","1,077","1,109","1,101"
