,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,1,1,1,11,11,11
Reserves,186,271,341,529,758,855
Borrowings +,1,3,3,0,0,1
Other Liabilities +,48,53,85,120,156,155
Total Liabilities,236,327,430,660,925,"1,022"
Fixed Assets +,102,127,166,186,296,327
CWIP,2,4,3,55,44,45
Investments,18,75,133,232,191,276
Other Assets +,114,121,128,187,394,375
Total Assets,236,327,430,660,925,"1,022"
