,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,39,39,39,39,43,43,45
Reserves,453,472,481,488,509,647,767
Borrowings +,708,787,707,648,590,764,801
Other Liabilities +,228,281,306,266,267,370,350
Total Liabilities,"1,428","1,580","1,534","1,441","1,409","1,824","1,963"
Fixed Assets +,655,700,648,616,590,602,696
CWIP,11,9,12,10,9,74,116
Investments,6,6,6,6,0,1,31
Other Assets +,757,865,868,809,809,"1,147","1,120"
Total Assets,"1,428","1,580","1,534","1,441","1,409","1,824","1,963"
