,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,22,26,26,26,26,26,26,26,26,26
Reserves,253,392,398,396,388,381,420,432,437,437
Borrowings +,131,333,481,590,665,660,416,509,547,755
Other Liabilities +,190,304,408,281,245,286,457,592,893,"1,011"
Total Liabilities,596,"1,054","1,312","1,293","1,324","1,353","1,318","1,558","1,902","2,229"
Fixed Assets +,4,6,61,66,148,175,40,40,39,49
CWIP,0,0,87,108,61,69,0,0,0,0
Investments,0,0,14,14,0,0,1,1,1,1
Other Assets +,592,"1,048","1,151","1,106","1,115","1,108","1,276","1,517","1,862","2,178"
Total Assets,596,"1,054","1,312","1,293","1,324","1,353","1,318","1,558","1,902","2,229"
