,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,96,121,153,125,102,132,137
Expenses +,80,97,124,97,94,103,106
Operating Profit,16,24,29,28,8,28,31
OPM %,17%,20%,19%,22%,8%,21%,23%
Other Income +,0,0,0,-16,7,7,6
Interest,2,3,1,9,9,8,5
Depreciation,4,10,16,29,27,22,20
Profit before tax,10,12,12,-26,-21,5,12
Tax %,35%,19%,17%,25%,33%,37%,
Net Profit,7,9,10,-20,-14,3,8
EPS in Rs,5.80,0.50,0.53,-1.05,-0.74,0.18,0.46
