,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,528","1,475","1,668","2,059","2,362","1,861","1,643"
Expenses +,"1,633","1,394","1,769","1,914","2,313","1,753","1,596"
Operating Profit,-105,81,-100,144,50,107,46
OPM %,-7%,6%,-6%,7%,2%,6%,3%
Other Income +,541,327,336,184,161,255,265
Interest,153,153,106,141,160,192,198
Depreciation,17,25,37,42,42,50,49
Profit before tax,266,231,93,146,9,120,65
Tax %,-0%,-0%,-0%,-0%,-0%,-0%,
Net Profit,266,231,93,146,9,120,63
EPS in Rs,4.76,3.03,1.03,1.58,0.10,1.28,0.70
