,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,16,16,16,18,18,18,18
Reserves,288,352,446,589,762,"1,489","1,756","2,118","2,326"
Borrowings +,452,498,813,842,599,367,333,355,163
Other Liabilities +,588,599,622,773,"1,387","1,395",902,"1,036",777
Total Liabilities,"1,345","1,464","1,896","2,220","2,764","3,269","3,008","3,527","3,284"
Fixed Assets +,298,328,405,407,489,554,537,531,540
CWIP,4,29,3,23,32,11,7,17,5
Investments,3,3,3,3,2,1,1,2,2
Other Assets +,"1,039","1,103","1,485","1,787","2,242","2,703","2,463","2,978","2,736"
Total Assets,"1,345","1,464","1,896","2,220","2,764","3,269","3,008","3,527","3,284"
