,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,181,211,278,300
Expenses +,151,158,198,207
Operating Profit,30,53,80,93
OPM %,17%,25%,29%,31%
Other Income +,3,1,0,3
Interest,4,2,2,3
Depreciation,21,23,23,27
Profit before tax,8,29,56,66
Tax %,17%,25%,26%,
Net Profit,7,21,41,49
EPS in Rs,3.10,9.68,18.69,22.06
