,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,50,45,53,53,53
Reserves,199,225,295,369,400,382,982,"1,248","1,302"
Borrowings +,249,221,104,215,175,159,149,139,254
Other Liabilities +,152,176,240,300,389,484,654,825,546
Total Liabilities,610,632,649,895,"1,014","1,069","1,838","2,265","2,154"
Fixed Assets +,226,215,202,293,346,338,325,394,513
CWIP,25,40,61,30,31,67,148,374,392
Investments,0,0,0,0,0,0,3,5,3
Other Assets +,358,377,386,571,637,664,"1,361","1,492","1,246"
Total Assets,610,632,649,895,"1,014","1,069","1,838","2,265","2,154"
