,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,318,207,292,265
Expenses +,286,193,284,267
Operating Profit,32,14,7,-2
OPM %,10%,7%,2%,-1%
Other Income +,2,3,3,2
Interest,3,1,1,1
Depreciation,7,7,8,9
Profit before tax,25,8,0,-9
Tax %,26%,27%,76%,
Net Profit,18,6,0,-7
EPS in Rs,4.46,1.43,0.02,-1.67
