,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,275,275,499,499,499,499
Reserves,679,549,723,"1,042","1,428","1,721"
Borrowings +,10,20,36,33,38,32
Other Liabilities +,694,"1,016",849,"1,098","1,045","1,204"
Total Liabilities,"1,658","1,860","2,106","2,672","3,010","3,455"
Fixed Assets +,267,279,319,309,390,431
CWIP,9,8,10,14,35,23
Investments,0,0,86,290,356,311
Other Assets +,"1,383","1,572","1,690","2,058","2,228","2,690"
Total Assets,"1,658","1,860","2,106","2,672","3,010","3,455"
