,Mar 2008,Mar 2009,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Share Capital +,43.00,43.00,60.10,63.00,65.14,82.55
Reserves,19.07,18.33,22.78,26.16,28.50,29.68
Borrowings +,21.90,21.11,31.33,66.56,130.23,171.66
Other Liabilities +,4.45,3.87,13.73,26.62,43.73,39.24
Total Liabilities,88.42,86.31,127.94,182.34,267.60,323.13
Fixed Assets +,15.74,14.88,22.63,26.07,36.25,36.18
CWIP,9.58,17.25,27.49,52.05,133.26,195.19
Investments,18.31,1.83,0.00,0.01,0.01,0.01
Other Assets +,44.79,52.35,77.82,104.21,98.08,91.75
Total Assets,88.42,86.31,127.94,182.34,267.60,323.13
