,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,-0,"8,152","7,235","7,774","10,357","10,289","9,379","9,400","15,011","15,872"
Expenses +,-0,"7,408","6,373","6,792","9,126","9,248","8,443","8,270","12,858","14,038"
Operating Profit,-0,744,862,983,"1,231","1,040",936,"1,130","2,154","1,834"
OPM %,,9%,12%,13%,12%,10%,10%,12%,14%,12%
Other Income +,-0,42,-20,141,283,186,178,291,663,595
Interest,-0,475,493,431,408,367,323,251,131,139
Depreciation,-0,313,305,285,284,289,295,290,250,236
Profit before tax,-0,-1,44,407,821,570,497,880,"2,436","2,055"
Tax %,,-310%,16%,29%,28%,30%,19%,21%,20%,
Net Profit,-0,-6,36,290,588,396,401,696,"1,947","1,651"
EPS in Rs,-0.00,-321.60,1.58,12.15,24.50,16.16,16.65,29.41,82.33,69.86
