,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,11,11,10,10,10,8,8,8,8,8,8,8
Reserves,20,25,25,25,27,28,29,29,31,31,31,30,31
Borrowings +,46,33,39,37,31,32,31,31,27,22,17,18,18
Other Liabilities +,24,26,25,20,24,19,22,15,15,13,13,10,12
Total Liabilities,99,93,97,90,91,88,90,84,81,74,68,66,69
Fixed Assets +,31,30,30,26,24,23,24,23,23,21,21,20,20
CWIP,0,0,0,0,0,3,1,1,0,0,0,1,2
Investments,0,0,0,0,0,0,0,1,1,0,1,1,1
Other Assets +,68,63,67,63,67,62,65,59,58,52,46,45,47
Total Assets,99,93,97,90,91,88,90,84,81,74,68,66,69
