,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,23,23,23,23,23,22,22,22
Reserves,312,364,427,495,555,601,685,682
Borrowings +,26,12,6,22,34,41,31,31
Other Liabilities +,74,75,77,80,84,93,84,84
Total Liabilities,435,474,532,620,696,757,822,819
Fixed Assets +,135,128,132,128,165,194,220,224
CWIP,8,4,2,39,39,15,12,22
Investments,97,124,156,187,165,205,154,138
Other Assets +,196,218,242,266,327,343,437,435
Total Assets,435,474,532,620,696,757,822,819
