,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,599,599,599,600,600,601,602,602
Reserves,"-1,638","-1,212",-655,-950,"-2,180","-3,205","-4,942","-6,554"
Borrowings +,"1,230","1,155","1,303","1,110","1,097","1,068","8,332","8,221"
Other Liabilities +,"2,656","2,448","2,772","4,045","13,344","12,904","5,562","6,572"
Total Liabilities,"2,847","2,991","4,019","4,805","12,861","11,368","9,555","8,841"
Fixed Assets +,"1,628","1,620","1,598","1,626","8,714","7,033","5,569","4,861"
CWIP,-0,-0,-0,-0,-0,6,6,9
Investments,20,140,101,0,0,0,0,0
Other Assets +,"1,199","1,231","2,320","3,178","4,146","4,329","3,979","3,970"
Total Assets,"2,847","2,991","4,019","4,805","12,861","11,368","9,555","8,841"
