,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,13,13,13,13,13,13,13,13,13,13,13
Reserves,56,67,33,-1,-37,-138,-153,-174,-199,-222,-230
Borrowings +,69,123,180,172,151,153,154,160,159,156,160
Other Liabilities +,40,38,38,32,70,75,87,110,127,123,129
Total Liabilities,178,241,263,217,197,102,101,109,100,69,72
Fixed Assets +,29,30,66,46,38,30,28,41,38,29,26
CWIP,8,49,42,32,28,5,-0,-0,-0,-0,-0
Investments,0,0,0,0,0,0,4,4,4,4,4
Other Assets +,142,162,155,139,130,67,70,65,58,37,43
Total Assets,178,241,263,217,197,102,101,109,100,69,72
