,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,11,11,11,12,12,12,12,13,13
Reserves,152,176,191,187,172,145,201,226,285,242,248,244
Borrowings +,205,185,229,208,192,236,143,150,165,140,102,103
Other Liabilities +,72,79,67,74,76,49,62,91,56,74,66,70
Total Liabilities,439,451,497,480,451,441,418,479,518,468,429,430
Fixed Assets +,168,191,211,199,198,233,231,233,260,291,255,249
CWIP,13,9,1,0,5,4,1,2,50,9,4,2
Investments,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Other Assets +,258,250,285,281,249,205,186,244,208,168,169,179
Total Assets,439,451,497,480,451,441,418,479,518,468,429,430
