,Mar 2012,Mar 2013
Sales +,97,109
Expenses +,82,89
Operating Profit,15,20
OPM %,15%,18%
Other Income +,1,1
Interest,2,4
Depreciation,5,5
Profit before tax,9,12
Tax %,-1%,4%
Net Profit,9,12
EPS in Rs,5.75,7.34
