,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,12,12,12,12,12,12,12,12,12
Reserves,364,381,388,379,368,358,346,354,354,315,260,219,129
Borrowings +,231,152,142,142,299,379,457,665,652,641,633,603,256
Other Liabilities +,669,703,656,678,658,709,688,687,851,935,984,"1,011","1,051"
Total Liabilities,"1,275","1,247","1,198","1,211","1,337","1,458","1,503","1,717","1,869","1,903","1,889","1,845","1,448"
Fixed Assets +,27,27,27,29,28,71,96,100,82,70,67,59,58
CWIP,21,11,18,23,44,28,10,11,11,12,12,12,12
Investments,6,6,10,12,13,13,3,7,7,7,7,6,6
Other Assets +,"1,221","1,202","1,144","1,147","1,252","1,345","1,394","1,599","1,770","1,814","1,804","1,768","1,373"
Total Assets,"1,275","1,247","1,198","1,211","1,337","1,458","1,503","1,717","1,869","1,903","1,889","1,845","1,448"
