,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,5,6,6,6,6,6,6,6,6,6,6
Reserves,149,135,116,138,245,251,292,308,319,367,362,375,368
Borrowings +,332,738,669,592,516,596,680,710,659,743,744,687,704
Other Liabilities +,154,398,423,425,382,329,350,395,401,375,316,318,317
Total Liabilities,641,"1,276","1,213","1,159","1,150","1,182","1,329","1,419","1,385","1,491","1,429","1,387","1,396"
Fixed Assets +,334,622,661,687,644,627,759,793,644,826,708,685,648
CWIP,52,109,76,3,4,29,24,8,6,3,3,15,52
Investments,0,0,0,0,0,0,1,1,0,0,0,0,0
Other Assets +,255,545,476,470,502,527,545,617,735,661,717,686,695
Total Assets,641,"1,276","1,213","1,159","1,150","1,182","1,329","1,419","1,385","1,491","1,429","1,387","1,396"
