,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,88,103,132,138,135,206,258
Expenses +,78,90,118,124,124,192,234
Operating Profit,10,13,14,13,10,14,24
OPM %,11%,12%,10%,10%,8%,7%,9%
Other Income +,0,0,0,0,1,1,1
Interest,1,2,1,2,2,2,2
Depreciation,2,2,2,5,4,4,4
Profit before tax,7,10,11,7,5,10,20
Tax %,32%,32%,29%,27%,32%,25%,
Net Profit,5,7,7,5,4,7,15
EPS in Rs,6.95,4.23,4.77,3.22,2.30,4.66,9.23
