,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,161,161,161,161,161,81,87,92,92,104,104
Reserves,-62,-39,-3,-42,-86,-37,-60,-125,-128,-166,-198
Borrowings +,159,188,126,124,96,125,131,98,41,41,38
Other Liabilities +,218,222,184,172,244,252,192,200,183,91,107
Total Liabilities,477,532,469,415,416,420,349,266,189,70,52
Fixed Assets +,199,186,164,154,139,128,109,118,39,29,27
CWIP,0,2,6,4,4,2,19,1,0,0,0
Investments,78,89,96,95,102,101,80,16,0,0,0
Other Assets +,200,255,202,163,171,190,141,131,150,41,24
Total Assets,477,532,469,415,416,420,349,266,189,70,52
