,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,28,28,28,28,28,28,28
Reserves,410,393,376,336,341,351,357
Borrowings +,8,51,68,72,104,42,40
Other Liabilities +,268,250,324,312,298,348,123
Total Liabilities,714,722,795,748,771,769,547
Fixed Assets +,161,153,152,150,149,148,147
CWIP,6,9,10,11,6,6,7
Investments,11,23,34,42,43,46,0
Other Assets +,536,537,598,545,573,568,393
Total Assets,714,722,795,748,771,769,547
