,Mar 2021,TTM
Sales +,149,146
Expenses +,108,118
Operating Profit,41,29
OPM %,28%,20%
Other Income +,0,0
Interest,0,0
Depreciation,3,2
Profit before tax,38,26
Tax %,24%,
Net Profit,29,19
EPS in Rs,21.73,14.38
